Character,Reading
㯻,gǔn
㯾,zāo
㯿,liè là
㰀,lí
㰁,luǒ
㰂,shěn
㰃,mián miàn
㰅,dí zhé
㰆,bèi
㰈,liǎn
㰊,xián
㰋,pín
㰍,lóng
㰑,shān
㰒,xué
㰔,xiè
㰗,qí
㰘,yí
㰙,nuó
㰚,lí
㰛,yuè
㰝,yǐ
㰞,chī
㰟,jì qì
㰠,hāng
㰢,kēng
㰣,zī
㰤,hē qiè
㰥,xì huì
㰦,qù
㰧,hāi
㰨,xiā
㰩,hāi
㰪,guī
㰫,chān
㰬,xún
㰭,xū
㰮,shèn
㰯,tòu tǒu hòu
㰰,xiā qiè hē
㰲,yū xù
㰳,yà yā
㰴,pǒu
㰵,zú
㰶,yǒu ǒu
㰹,xiān xiàn hǎn
㰺,xià xiá
㰻,yǐ xī hòu
㰼,shà qiè
㰽,yàn
㰾,jiào
㰿,xī
㱁,shì kuǎn
㱂,kāng
㱄,hēi mò
㱆,xī
㱇,sè xì
㱈,jìn
㱊,yōu
㱋,què
㱌,yé chè
㱍,luán
㱎,kūn
㱔,xiē
㱖,cuì
㱗,xiū
㱙,xiǔ guǎ
㱛,chuǎn bù
㱞,yì lā
㱟,pī pǐ
㱠,kū gū
㱡,shēng
㱢,láng
㱣,tuǐ
㱤,xī
㱥,líng lèng
㱦,qī
㱧,wò yuǎn
㱬,wěi
㱯,ái
㱰,zǎi
㱱,huì
㱲,yì
㱳,mò
㱴,zì
㱵,fèn
㱶,péng bēng
㱸,bì
㱹,lì
㱺,lú
㱻,luò
㱼,hāi
㱽,zhěn qín
㱾,gāi kāi
㱿,què hù qiǎng
㲀,zhēn chēn
㲁,kōng zhōng
㲂,chéng
㲃,jiù
㲄,kū
㲅,jì
㲆,líng
㲈,sháo táo
㲉,què
㲋,chuò
㲌,nèng
㲍,zhī
㲏,pāo
㲒,bào qú
㲓,shù
㲔,xiān
㲕,lèi
㲖,xiāo
㲗,fū
㲚,shā
㲛,zhǐ
㲞,sū zú
㲟,yǐng
㲡,nài
㲢,biàn
㲤,shuāi
㲥,táng
㲦,hàn
㲧,sào
㲨,róng
㲪,dēng
㲫,pú
㲬,jiāo
㲯,rán
㲰,níng
㲲,dié
㲳,dié zhì
㲴,zhòng
㲸,xī
㲺,jí
㲻,nì
㲼,yì chà
㲽,niàn rěn
㳀,guò
㳁,zè
㳆,tǒu
㳇,fù
㳊,yōu zhōng
㳋,qiū
㳌,yā
㳍,bù
㳎,biàn
㳏,shì
㳐,zhá
㳖,yī
㳗,chài chà
㳘,chōng
㳚,xù
㳛,yú yóu
㳜,xiū
㳥,lòng
㳦,xiè
㳧,chè rè
㳩,tān
㳪,pì
㳫,zǎn
㳬,xuán
㳴,mì
㳵,jì
㳶,nǒu rǔ
㳷,hū mǐn wěn tuì
㳸,huā
㳹,wǎng wāng
㳻,zé
㳼,bì yù
㳾,qiāng
㴀,fān
㴁,yì
㴂,tān
㴄,yǒng
㴇,shè máng
㴏,wǎng
㴐,miàn miǎn
