"Character","Reading"
"扭","niǔ,niu"
"扮","ban,bàn"
"扯","chě,che"
"扰","rǎo"
"扳","bān"
"扶","fú"
"批","pī"
"找","zhǎo"
"承","chéng"
"技","jì"
"抄","chāo"
"把","bǎ"
"抑","yì"
"抓","zhuā"
"投","toú"
"抖","doǔ"
"抗","kàng"
"折","zhé,zhē,shé"
"抚","fǔ"
"抛","pāo"
"抡","lūn"
"抢","qiǎng"
"护","hù"
"报","bào"
"披","pī"
"抬","tái"
"抱","bào"
"抵","dǐ"
"抹","mǒ,mā"
"押","yā"
"抽","choū"
"抿","mǐn"
"拄","zhǔ"
"担","dān,dàn,dan"
"拆","chāi"
"拇","mu"
"拉","lā,la"
"拋","pāo"
"拌","bàn"
"拍","pāi"
"拐","guǎi"
"拒","jù"
"拔","bá,ba"
"拖","tuō"
"拘","jū"
"招","zhāo"
"拜","bài"
"拟","nǐ"
"拢","lǒng"
"拣","jiǎn"
"拥","yōng"
"拦","lán"
"拧","níng"
"拨","bō"
"择","zé"
"括","kuò"
"拭","shì"
"拱","gǒng"
"拳","quán"
"拴","shuān"
"拼","pīn"
"拾","shi,shí"
"拿","ná"
"持","chí"
"挂","guà"
"指","zhǐ,zhí,zhī"
"按","àn"
"挎","kuà"
"挑","tiāo,tiǎo"
"挖","wā"
"挟","xié"
"挡","dǎng"
"挣","zhēng,zhèng"
"挤","jǐ"
"挥","huī"
"挨","āi"
"挫","cuò"
"振","zhèn"
"挺","tǐng"
"挽","wǎn"
"挾","xié"
"捂","wǔ"
"捆","kǔn"
"捉","zhuō"
"捍","hàn"
"捎","shāo"
"捏","niē"
"捐","juān"
"捕","bǔ"
"捞","lāo"
"损","sǔn"
"捡","jiǎn"
"换","huàn"
"捣","dǎo"
"捧","pěng"
"据","jù"
"捶","chuí"
"捷","jié"
"捻","niǎn"
"掀","xiān"
"掃","sǎo,sào"
"掄","lūn"
"授","shoù"
"掉","diào"
"掌","zhǎng,zhang"
"掏","tāo"
"掐","qiā"
"排","pái"
"掘","jué"
"掙","zhēng,zhèng"
"掛","guà"
"掠","lüè"
"探","tàn,tan"
"接","jiē"
"控","kòng"
"推","tuī"
"掩","yǎn"
"措","cuò"
"掰","bāi"
"掷","zhì"
"揀","jiǎn"
"揉","roú"
"揍","zoù"
"描","miáo"
"提","tí"
"插","chā"
"揚","yáng"
"換","huàn"
"握","wò"
"揣","chuāi"
"揩","kāi"
"揪","jiū"
"揭","jiē"
"揮","huī"
"援","yuán"
"搀","chān"
"搁","gē,ge"
"搂","loǔ"
"搅","jiǎo"
"損","sǔn"
"搏","bó"
"搓","cuō"
"搔","sāo"
"搖","yáo"
"搗","dǎo"
"搜","soū"
"搞","gǎo"
"搪","táng"
"搬","bān"
"搭","dā"
"搶","qiǎng"
"携","xié"
"摄","shè"
"摆","bǎi"
"摇","yáo"
"摊","tān"
"摔","shuāi"
"摘","zhāi"
"摟","loǔ"
"摧","cuī"
"摩","mó"
"摸","mō,mo"
"撂","liào"
"撅","juē"
"撈","lāo"
"撐","chēng,cheng"
"撑","chēng,cheng"
"撒","sā,sǎ"
"撕","sī"
"撞","zhuàng"
"撤","chè"
"撥","bō"
"撩","liāo"
"撫","fǔ"
"播","bō"
"撲","pū"
"撵","niǎn"
"撼","hàn"
"撿","jiǎn"
"擁","yōng"
"擇","zé"
"擊","jī"
"擋","dǎng"
"操","cāo"
"擔","dān,dàn,dan"
"據","jù"
"擠","jǐ"
"擦","cā"
"擬","nǐ"
"擰","níng"
"擱","gē,ge"
"擲","zhì"
"擴","kuò"
"擺","bǎi"
"擾","rǎo"
"攀","pān"
"攆","niǎn"
"攏","lǒng"
"攒","zǎn"
"攔","lán"
"攙","chān"
"攜","xié"
"攝","shè"
"攢","zǎn"
"攤","tān"
"攥","zuàn"
"攪","jiǎo"
"支","zhī"
"收","shoū"
"改","gǎi"
"攻","gōng"
"放","fàng"
"政","zhèng"
"故","gù"
"效","xiào"
"敌","dí"
"敏","mǐn"
"救","jiù"
"敗","bài"
"敘","xù"
"教","jiào,jiāo"
"敞","chang"
"敢","gǎn"
"散","sàn,sǎn"
"敬","jìng"
"数","shù,shǔ,shu"
"敲","qiāo"
"整","zhěng"
"敵","dí"
"敷","fū"
"數","shù,shǔ,shu"
"斃","bì"
"文","wén"
"斗","doù"
"料","liào"
"斜","xié"
"斤","jīn"
"斥","chì"
"斧","fǔ"
"断","duàn"
"斯","sī"
"新","xīn"
"斷","duàn"
"方","fāng,fang"
"施","shī"
"旁","páng"
"旅","l̈ǔ"
"旋","xuán"
"族","zú"
"旗","qí"
"无","wú"
"既","jì"
"日","rì"
"旦","dàn"
"旧","jiù"
"早","zǎo"
"旬","xún"
"旱","hàn"
"时","shí"
"旷","kuàng"
"旺","wàng"
"昂","áng"
"昆","kūn"
"明","míng,ming"
"昏","hūn,hún"
"易","yì"
"星","xīng"
"映","yìng"
"春","chūn"
"昧","mèi"
"昨","zuó"
"是","shì,shi"
"昼","zhoù"
"显","xiǎn"
"時","shí"
"晃","huang,huàng,huǎng"
"晌","shǎng"
"晒","shài"
"晓","xiǎo"
"晕","yūn"
"晚","wǎn"
"晝","zhoù"
"晨","chen,chén"
"普","pǔ"
"景","jǐng"
"晰","xī"
"晴","qíng"
"晶","jīng"
"智","zhì"
"晾","liàng"
"暂","zàn"
"暄","xuān"
"暈","yūn"
"暑","shǔ"
"暖","nuǎn"
"暗","àn"
"暢","chàng"
"暫","zàn"
"暴","bào"
"曉","xiǎo"
"曠","kuàng"
"曰","yuē"
"曲","qū,qǔ"
"更","gèng,gēng"
"書","shū"
"曾","céng"
"替","tì"
